SALESPERSON_ID,YEAR,TOTAL_SALES,SALES_QUOTA,DIFFERENCE,STATUS
274,2011,28926.246499999997,42000.0,-13073.753500000003,未达标
274,2012,453524.5233,117750.0,335774.5233,达标
274,2013,431088.7238,130250.0,300838.7238,达标
274,2014,178584.3625,187000.0,-8415.637500000012,未达标
275,2011,875823.8317999999,475000.0,400823.8317999999,达标
275,2012,3375456.8947,1008000.0,2367456.8947,达标
275,2013,3985374.8995,1209000.0,2776374.8995,达标
275,2014,1057247.3786,869000.0,188247.37859999994,达标
276,2011,1149715.3253,694333.3333333334,455381.99196666654,达标
276,2012,3834908.674,965750.0,2869158.674,达标
276,2013,4111294.9056,1179000.0,2932294.9056,达标
276,2014,1271088.5216,1124000.0,147088.5216000001,达标
277,2011,1311627.2918,761000.0,550627.2918,达标
277,2012,4317306.5741,1185750.0,3131556.5741,达标
277,2013,3396776.2674,1056250.0,2340526.2674,达标
277,2014,1040093.4071,947000.0,93093.40709999995,达标
278,2011,500091.8202,288666.6666666667,211425.15353333333,达标
278,2012,1283569.6294,362750.0,920819.6294,达标
278,2013,1389836.8101000001,414500.0,975336.8101000001,达标
278,2014,435948.9551,390000.0,45948.95510000002,达标
279,2011,1521289.1881,788666.6666666666,732622.5214333333,达标
279,2012,2674436.3518,688500.0,1985936.3517999998,达标
279,2013,2188082.7813,683750.0,1504332.7813,达标
279,2014,787204.4289,686000.0,101204.42890000006,达标
280,2011,648485.5862,299333.3333333333,349152.2528666667,达标
280,2012,1208264.3834,231750.0,976514.3833999999,达标
280,2013,963420.5805,334000.0,629420.5805,达标
280,2014,504932.044,390000.0,114932.044,达标
281,2011,967597.2899,494000.0,473597.2899,达标
281,2012,2294210.5506,702500.0,1591710.5506000002,达标
281,2013,2387256.0616,697000.0,1690256.0616000001,达标
281,2014,777941.6518999999,724000.0,53941.65189999994,达标
282,2011,1175007.4753,625000.0,550007.4753,达标
282,2012,1835715.8705,454750.0,1380965.8705,达标
282,2013,1870884.182,643500.0,1227384.182,达标
282,2014,1044810.8277,830000.0,214810.82770000002,达标
283,2011,599987.9444,286333.3333333333,313654.6110666667,达标
283,2012,1288068.7236,310500.0,977568.7235999999,达标
283,2013,1351422.362,380250.0,971172.362,达标
283,2014,490466.319,403000.0,87466.31900000002,达标
284,2012,441639.5961,301000.0,140639.59610000002,达标
284,2013,1269908.9235,413500.0,856408.9235,达标
284,2014,600997.1704,497000.0,103997.17039999994,达标
285,2013,151257.1152,59666.666666666664,91590.44853333334,达标
285,2014,21267.336,26000.0,-4732.664000000001,未达标
286,2013,836055.1236,422000.0,414055.12360000005,达标
286,2014,585755.8006,421000.0,164755.80059999996,达标
287,2012,116029.652,47000.0,69029.652,达标
287,2013,560091.7843,183500.0,376591.78430000006,达标
287,2014,56637.747800000005,1000.0,55637.747800000005,达标
288,2013,1245458.7797,553333.3333333334,692125.4463666667,达标
288,2014,581607.9321,627000.0,-45392.067900000024,未达标
289,2012,3014278.0472,1366000.0,1648278.0472,达标
289,2013,4106064.0146,1271750.0,2834314.0146,达标
289,2014,1382996.5839,1329000.0,53996.58389999997,达标
290,2012,996291.908,406333.3333333333,589958.5746666668,达标
290,2013,2646078.409,857500.0,1788578.409,达标
290,2014,867518.6141,908000.0,-40481.385899999994,未达标
